job_id,label,step,max_steps,status,loss,draft_training_enabled,draft_refit_this_step,draft_loss,generation_kl_error,avg_reward,total_step_time_s,generation_time_s,policy_training_time_s,policy_and_reference_logprobs_time_s,prepare_for_generation_total_s,e2e_tokens_per_sec_per_gpu,generation_worker_tokens_per_sec_per_gpu,policy_training_tokens_per_sec_per_gpu,policy_logprobs_tokens_per_sec_per_gpu,mean_generation_length,vllm_acceptance_rate_pct_mean_visible,vllm_acceptance_rate_pct_mean_weighted,vllm_acceptance_rate_pct_latest_visible,vllm_acceptance_length_mean_visible,vllm_acceptance_length_mean_weighted,vllm_acceptance_length_latest_visible,vllm_accepted_throughput_mean_visible,vllm_drafted_throughput_mean_visible,vllm_accepted_tokens_sum_weighted,vllm_drafted_tokens_sum_weighted,vllm_specdec_metric_visible_count,vllm_specdec_metric_weighted_count,error_count,latest_error,log_path,vllm_acceptance_rate_pos1_weighted,vllm_acceptance_rate_pos2_weighted,vllm_acceptance_rate_pos3_weighted,vllm_acceptance_rate_pos4_weighted,vllm_acceptance_rate_pos5_weighted,vllm_acceptance_rate_pos6_weighted,vllm_acceptance_rate_pos7_weighted,vllm_acceptance_rate_pos8_weighted,vllm_acceptance_rate_pos9_weighted
3299487,baseline,1,10,completed_step,,,,,0.0019,0.1797,266.68,,260.32,0.0,,232.53,472.94,476.42,190638875.33,,,,,,,,,,,,0,0,4,"(VllmAsyncGenerationWorker pid=2820846, ip=10.109.26.121) ERROR 06-14 01:13:39 [hermes_tool_parser.py:194] Traceback (most recent call last):",tmp/oci_hsg_swerl_fullgrpo_logs_live_extract/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_wandb_r1/baseline_steps10_3299487/3299487-logs/ray-driver.log,,,,,,,,,
3299487,baseline,2,10,completed_step,0.0,,,,0.002,0.0,360.19,,107.13,0.0,,155.41,315.38,1045.02,578545915.15,,,,,,,,,,,,0,0,38,"(VllmAsyncGenerationWorker pid=2766450, ip=10.109.18.17) ERROR 06-14 01:21:01 [hermes_tool_parser.py:194] Traceback (most recent call last):",tmp/oci_hsg_swerl_fullgrpo_logs_live_extract/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_wandb_r1/baseline_steps10_3299487/3299487-logs/ray-driver.log,,,,,,,,,
3299487,baseline,3,10,completed_step,0.0131,,,,0.0019,0.125,1632.94,,125.81,0.0,,39.08,78.46,1014.43,727409603.3,,,,,,,,,,,,0,0,93,"(VllmAsyncGenerationWorker pid=2452042, ip=10.109.27.226) ERROR 06-14 01:43:10 [hermes_tool_parser.py:194] Traceback (most recent call last):",tmp/oci_hsg_swerl_fullgrpo_logs_live_extract/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_wandb_r1/baseline_steps10_3299487/3299487-logs/ray-driver.log,,,,,,,,,
3299487,baseline,4,10,completed_step,0.0,,,,0.0019,0.0,177.53,,132.92,0.0,,377.26,775.96,1007.8,1063245453.19,,,,,,,,,,,,0,0,2,"(VllmAsyncGenerationWorker pid=739553, ip=10.109.30.173) ERROR 06-14 01:50:42 [hermes_tool_parser.py:194] Traceback (most recent call last):",tmp/oci_hsg_swerl_fullgrpo_logs_live_extract/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_wandb_r1/baseline_steps10_3299487/3299487-logs/ray-driver.log,,,,,,,,,
3299487,baseline,5,10,completed_step,,,,,0.002,0.1016,1970.86,,119.57,0.0,,33.1,72.19,1091.01,633608149.5,,,,,,,,,,,,0,0,21,"(VllmAsyncGenerationWorker pid=2452042, ip=10.109.27.226) ERROR 06-14 02:21:08 [hermes_tool_parser.py:194] Traceback (most recent call last):",tmp/oci_hsg_swerl_fullgrpo_logs_live_extract/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_wandb_r1/baseline_steps10_3299487/3299487-logs/ray-driver.log,,,,,,,,,
3299487,baseline,6,10,completed_step,0.0455,,,,0.0019,0.1172,1261.13,,139.29,0.0,,56.72,113.89,1027.19,698161976.62,,,,,,,,,,,,0,0,7,"(VllmAsyncGenerationWorker pid=2766450, ip=10.109.18.17) ERROR 06-14 02:38:28 [hermes_tool_parser.py:194] Traceback (most recent call last):",tmp/oci_hsg_swerl_fullgrpo_logs_live_extract/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_wandb_r1/baseline_steps10_3299487/3299487-logs/ray-driver.log,,,,,,,,,
3299487,baseline,7,10,completed_step,0.0,,,,0.0018,0.0,2154.47,,111.84,0.0,,27.85,55.86,1073.08,589416194.23,,,,,,,,,,,,0,0,21,"(VllmAsyncGenerationWorker pid=3809072, ip=10.109.19.233) ERROR 06-14 03:21:29 [hermes_tool_parser.py:194] Traceback (most recent call last):",tmp/oci_hsg_swerl_fullgrpo_logs_live_extract/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_wandb_r1/baseline_steps10_3299487/3299487-logs/ray-driver.log,,,,,,,,,
3299487,baseline,8,10,completed_step,,,,,0.002,0.1406,953.16,,193.74,0.0,,98.53,197.98,969.5,785681397.74,,,,,,,,,,,,0,0,15,"(VllmAsyncGenerationWorker pid=2820846, ip=10.109.26.121) ERROR 06-14 03:36:02 [hermes_tool_parser.py:194] Traceback (most recent call last):",tmp/oci_hsg_swerl_fullgrpo_logs_live_extract/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_wandb_r1/baseline_steps10_3299487/3299487-logs/ray-driver.log,,,,,,,,,
3299487,baseline,9,10,completed_step,0.1072,,,,0.0019,0.4766,1436.05,,119.63,0.0,,42.07,94.73,1010.06,539567541.22,,,,,,,,,,,,0,0,14,lete.<locals>.done_cb()]> got Future <Task pending name='Task-2755' coro=<_wait_for_close() running at /opt/ray_venvs/nemo_rl.environments.nemo_gym.NemoGym/lib/python3.13/site-packages/aiohttp/connector.py:136>> attached to a different loop,tmp/oci_hsg_swerl_fullgrpo_logs_live_extract/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_wandb_r1/baseline_steps10_3299487/3299487-logs/ray-driver.log,,,,,,,,,
3299489,pard_k5,1,10,completed_step,0.0012,,,,0.002,0.1016,266.17,,260.07,0.04,,217.08,442.63,444.33,2899611.94,,,,,,,,,,,,0,0,3,"(VllmAsyncGenerationWorker pid=1557495, ip=10.109.31.160) ERROR 06-14 01:24:11 [hermes_tool_parser.py:194] Traceback (most recent call last):",tmp/oci_hsg_swerl_fullgrpo_logs_live_extract/20260614_oci_hsg_swerl_qwen235b_fullgrpo_specdec_after_prewarm_n3post_wandb_r1/pard_steps10_3299489/3299489-logs/ray-driver.log,,,,,,,,,
